Number,PCR Number,PCR Name,Proposer,Status,PCR Type,Change Request,Create On,Last Modified On,OTM,Product Category,Impacted Products,Product Name ,Current Status,Next CP,PKO,BC,SDV Entry,SDV Exit,SIT Entry,SIT Exit,SVT Entry,SVT Exit,SOVP Entry, SS,EOL/LOD Date,TPM,SL,OTM/ODT Leader,Project Name,Platform_y,FF,Platform_x,Segment,Brand,PCB,MB ,Region,Chassis
469,CP20240228_0004,90% PIC EPE cushion implement - update AIO models,liuyangs,Under Screen,Others,"This PCR just for to add more compal AIO new models and double check those old models status, since cost already flat and need compal models start to transfer: The original PCR is CP20230330_0007   Background:   Lenovo announced the ESG KPI in 2021, please reference FY22 ESG report, section 9 on page 121: FY2022-lenovo-sustainability-report.pdf   The key item for packaging KPI (already approved by 3 Segments) is:   By FY 2025/26, 90% of PC products plastic packaging will be made from recycled materials. * Measured by weight and excludes tablets, accessories and monitors.   Action required: For all of our DT products(not include NEC products), we need use the 90% PIC EPE cushion for all models which would active until 2025, also need consider about the L/T for logistic & common inventory period, to make sure all model sell in 2025, must with this type or some other higher recycled % level material.   Cost impaction need confirm by packaging team.",2024-02-28T17:39:22.000,2024-02-29T13:47:02.000,"chenwy3,zhanght25,chenjd4",DT_BU,IdeaCentre AIO 24IRH9,IdeaCentre AIO 24IRH9,Concept,,TBD,,,,,,,,,2025-1,2026-03-31,xuyuan4,jiazz3,yangxt4,,Intel_RPL-H/U,AIO,RPL-H/U,Consumer,IdeaCentre,AIO CPU refresh,,ROW,"24"""
470,CP20240228_0004,90% PIC EPE cushion implement - update AIO models,liuyangs,Under Screen,Others,"This PCR just for to add more compal AIO new models and double check those old models status, since cost already flat and need compal models start to transfer: The original PCR is CP20230330_0007   Background:   Lenovo announced the ESG KPI in 2021, please reference FY22 ESG report, section 9 on page 121: FY2022-lenovo-sustainability-report.pdf   The key item for packaging KPI (already approved by 3 Segments) is:   By FY 2025/26, 90% of PC products plastic packaging will be made from recycled materials. * Measured by weight and excludes tablets, accessories and monitors.   Action required: For all of our DT products(not include NEC products), we need use the 90% PIC EPE cushion for all models which would active until 2025, also need consider about the L/T for logistic & common inventory period, to make sure all model sell in 2025, must with this type or some other higher recycled % level material.   Cost impaction need confirm by packaging team.",2024-02-28T17:39:22.000,2024-02-29T13:47:02.000,"chenwy3,zhanght25,chenjd4",DT_BU,IdeaCentre AIO 27ARR9,IdeaCentre AIO 27ARR9,SS,-,-,2023-10-23,2023-09-04,2023-10-18,2023-11-06,2023-12-25,2024-01-03,2024-01-31,,2024-01-31,2026-03-31,xuyuan4,,yangxt4,Chicago (ARR-27),AMD_RMB-R,AIO,AMD Ramebrant-H,Consumer,IdeaCentre,,,ROW,"27"""
471,CP20240228_0004,90% PIC EPE cushion implement - update AIO models,liuyangs,Under Screen,Others,"This PCR just for to add more compal AIO new models and double check those old models status, since cost already flat and need compal models start to transfer: The original PCR is CP20230330_0007   Background:   Lenovo announced the ESG KPI in 2021, please reference FY22 ESG report, section 9 on page 121: FY2022-lenovo-sustainability-report.pdf   The key item for packaging KPI (already approved by 3 Segments) is:   By FY 2025/26, 90% of PC products plastic packaging will be made from recycled materials. * Measured by weight and excludes tablets, accessories and monitors.   Action required: For all of our DT products(not include NEC products), we need use the 90% PIC EPE cushion for all models which would active until 2025, also need consider about the L/T for logistic & common inventory period, to make sure all model sell in 2025, must with this type or some other higher recycled % level material.   Cost impaction need confirm by packaging team.",2024-02-28T17:39:22.000,2024-02-29T13:47:02.000,"chenwy3,zhanght25,chenjd4",DT_BU,IdeaCentre AIO 27ARR9,IdeaCentre AIO 27ARR9,Concept,,TBD,,,,,,,,,2025-1,2026-03-31,kangclc,yandb1,yangxt4,,AMD_RMB-R,AIO,hawk point?,Consumer,IdeaCentre,AIO CPU refresh,,ROW,"27"""
472,CP20240228_0004,90% PIC EPE cushion implement - update AIO models,liuyangs,Under Screen,Others,"This PCR just for to add more compal AIO new models and double check those old models status, since cost already flat and need compal models start to transfer: The original PCR is CP20230330_0007   Background:   Lenovo announced the ESG KPI in 2021, please reference FY22 ESG report, section 9 on page 121: FY2022-lenovo-sustainability-report.pdf   The key item for packaging KPI (already approved by 3 Segments) is:   By FY 2025/26, 90% of PC products plastic packaging will be made from recycled materials. * Measured by weight and excludes tablets, accessories and monitors.   Action required: For all of our DT products(not include NEC products), we need use the 90% PIC EPE cushion for all models which would active until 2025, also need consider about the L/T for logistic & common inventory period, to make sure all model sell in 2025, must with this type or some other higher recycled % level material.   Cost impaction need confirm by packaging team.",2024-02-28T17:39:22.000,2024-02-29T13:47:02.000,"chenwy3,zhanght25,chenjd4",DT_BU,IdeaCentre AIO 27IRH9,IdeaCentre AIO 27IRH9 (FHD),SS,-,-,2023-10-16,2023-08-28,2023-10-11,2023-10-30,2023-12-18,2023-12-21,2024-01-18,,2024-01-18,2026-03-31,kangclc,,yangxt4,Chicago (IRH-27_FHD),Intel_RPL-H,AIO,Intel RPL,Consumer,IdeaCentre,,,ROW,"27"""
473,CP20240228_0004,90% PIC EPE cushion implement - update AIO models,liuyangs,Under Screen,Others,"This PCR just for to add more compal AIO new models and double check those old models status, since cost already flat and need compal models start to transfer: The original PCR is CP20230330_0007   Background:   Lenovo announced the ESG KPI in 2021, please reference FY22 ESG report, section 9 on page 121: FY2022-lenovo-sustainability-report.pdf   The key item for packaging KPI (already approved by 3 Segments) is:   By FY 2025/26, 90% of PC products plastic packaging will be made from recycled materials. * Measured by weight and excludes tablets, accessories and monitors.   Action required: For all of our DT products(not include NEC products), we need use the 90% PIC EPE cushion for all models which would active until 2025, also need consider about the L/T for logistic & common inventory period, to make sure all model sell in 2025, must with this type or some other higher recycled % level material.   Cost impaction need confirm by packaging team.",2024-02-28T17:39:22.000,2024-02-29T13:47:02.000,"chenwy3,zhanght25,chenjd4",DT_BU,IdeaCentre AIO 27IRH9,IdeaCentre AIO 27IRH9 (QHD),SS,-,-,2023-10-16,2023-08-28,2023-09-22,2023-10-16,2023-12-04,2023-12-05,2023-12-29,,2023-12-29,2026-03-31,kangclc,,yangxt4,Chicago (IRH-27_QHD),Intel_RPL-H,AIO,Intel RPL,Consumer,IdeaCentre,,,ROW,"27"""
474,CP20240228_0004,90% PIC EPE cushion implement - update AIO models,liuyangs,Under Screen,Others,"This PCR just for to add more compal AIO new models and double check those old models status, since cost already flat and need compal models start to transfer: The original PCR is CP20230330_0007   Background:   Lenovo announced the ESG KPI in 2021, please reference FY22 ESG report, section 9 on page 121: FY2022-lenovo-sustainability-report.pdf   The key item for packaging KPI (already approved by 3 Segments) is:   By FY 2025/26, 90% of PC products plastic packaging will be made from recycled materials. * Measured by weight and excludes tablets, accessories and monitors.   Action required: For all of our DT products(not include NEC products), we need use the 90% PIC EPE cushion for all models which would active until 2025, also need consider about the L/T for logistic & common inventory period, to make sure all model sell in 2025, must with this type or some other higher recycled % level material.   Cost impaction need confirm by packaging team.",2024-02-28T17:39:22.000,2024-02-29T13:47:02.000,"chenwy3,zhanght25,chenjd4",DT_BU,IdeaCentre AIO 27IRH9,IdeaCentre AIO 27IRH9(QHD)(RPL-U/H),Concept,,TBD,,,,,,,,,2025-1,2026-03-31,kangclc,yandb1,yangxt4,,Intel_RPL-H,AIO,RPL-H/U,Consumer,IdeaCentre,AIO CPU refresh,,ROW,"27"""
475,CP20240228_0004,90% PIC EPE cushion implement - update AIO models,liuyangs,Under Screen,Others,"This PCR just for to add more compal AIO new models and double check those old models status, since cost already flat and need compal models start to transfer: The original PCR is CP20230330_0007   Background:   Lenovo announced the ESG KPI in 2021, please reference FY22 ESG report, section 9 on page 121: FY2022-lenovo-sustainability-report.pdf   The key item for packaging KPI (already approved by 3 Segments) is:   By FY 2025/26, 90% of PC products plastic packaging will be made from recycled materials. * Measured by weight and excludes tablets, accessories and monitors.   Action required: For all of our DT products(not include NEC products), we need use the 90% PIC EPE cushion for all models which would active until 2025, also need consider about the L/T for logistic & common inventory period, to make sure all model sell in 2025, must with this type or some other higher recycled % level material.   Cost impaction need confirm by packaging team.",2024-02-28T17:39:22.000,2024-02-29T13:47:02.000,"chenwy3,zhanght25,chenjd4",DT_BU,IdeaCentre AIO 27IRH9,IdeaCentre AIO 27IRH9(FHD)(RPL-U/H),Concept,,TBD,,,,,,,,,2025-1,2026-03-31,kangclc,yandb1,yangxt4,,Intel_RPL-H,AIO,RPL-H/U,Consumer,IdeaCentre,AIO CPU refresh,,ROW,"27"""
476,CP20240228_0004,90% PIC EPE cushion implement - update AIO models,liuyangs,Under Screen,Others,"This PCR just for to add more compal AIO new models and double check those old models status, since cost already flat and need compal models start to transfer: The original PCR is CP20230330_0007   Background:   Lenovo announced the ESG KPI in 2021, please reference FY22 ESG report, section 9 on page 121: FY2022-lenovo-sustainability-report.pdf   The key item for packaging KPI (already approved by 3 Segments) is:   By FY 2025/26, 90% of PC products plastic packaging will be made from recycled materials. * Measured by weight and excludes tablets, accessories and monitors.   Action required: For all of our DT products(not include NEC products), we need use the 90% PIC EPE cushion for all models which would active until 2025, also need consider about the L/T for logistic & common inventory period, to make sure all model sell in 2025, must with this type or some other higher recycled % level material.   Cost impaction need confirm by packaging team.",2024-02-28T17:39:22.000,2024-02-29T13:47:02.000,"chenwy3,zhanght25,chenjd4",DT_BU,QiTian A970,QiTian A970,SS,-,-,2023-08-18,2023-08-28,2023-10-11,2023-10-30,2023-12-25,2024-01-03,2024-02-05,,2024-02-05,2025-12-31,liuyq33,,jiangping8,Quzhou_M9,Intel_RPL-H/U,AIO,Intel RPL,Commercial,ThinkCentre M,,,PRC,
477,CP20240228_0004,90% PIC EPE cushion implement - update AIO models,liuyangs,Under Screen,Others,"This PCR just for to add more compal AIO new models and double check those old models status, since cost already flat and need compal models start to transfer: The original PCR is CP20230330_0007   Background:   Lenovo announced the ESG KPI in 2021, please reference FY22 ESG report, section 9 on page 121: FY2022-lenovo-sustainability-report.pdf   The key item for packaging KPI (already approved by 3 Segments) is:   By FY 2025/26, 90% of PC products plastic packaging will be made from recycled materials. * Measured by weight and excludes tablets, accessories and monitors.   Action required: For all of our DT products(not include NEC products), we need use the 90% PIC EPE cushion for all models which would active until 2025, also need consider about the L/T for logistic & common inventory period, to make sure all model sell in 2025, must with this type or some other higher recycled % level material.   Cost impaction need confirm by packaging team.",2024-02-28T17:39:22.000,2024-02-29T13:47:02.000,"chenwy3,zhanght25,chenjd4",DT_BU,QiTian A970,QiTian A970 (RPL-U/H),Concept,,TBD,,,,,,,,,2025-1,2025-12-31,,,jiangping8,,Intel_RPL-H/U,AIO,RPL-H/U,Commercial,QiTian,AIO CPU refresh,,PRC,23.8''
478,CP20240228_0004,90% PIC EPE cushion implement - update AIO models,liuyangs,Under Screen,Others,"This PCR just for to add more compal AIO new models and double check those old models status, since cost already flat and need compal models start to transfer: The original PCR is CP20230330_0007   Background:   Lenovo announced the ESG KPI in 2021, please reference FY22 ESG report, section 9 on page 121: FY2022-lenovo-sustainability-report.pdf   The key item for packaging KPI (already approved by 3 Segments) is:   By FY 2025/26, 90% of PC products plastic packaging will be made from recycled materials. * Measured by weight and excludes tablets, accessories and monitors.   Action required: For all of our DT products(not include NEC products), we need use the 90% PIC EPE cushion for all models which would active until 2025, also need consider about the L/T for logistic & common inventory period, to make sure all model sell in 2025, must with this type or some other higher recycled % level material.   Cost impaction need confirm by packaging team.",2024-02-28T17:39:22.000,2024-02-29T13:47:02.000,"chenwy3,zhanght25,chenjd4",DT_BU,ThinkCentre neo 50a 24 Gen 4,ThinkCentre neo 50a 24 Gen 5,Concept,,TBD,,,,,,,,,2025-1,2024-06-30,xuyuan4,jiazz3,"bairq2,liurc1",,Intel_RPL-P,AIO,RPL-H/U,SMB,ThinkCentre neo,AIO CPU refresh,,ROW & PRC,"24"""
479,CP20240228_0004,90% PIC EPE cushion implement - update AIO models,liuyangs,Under Screen,Others,"This PCR just for to add more compal AIO new models and double check those old models status, since cost already flat and need compal models start to transfer: The original PCR is CP20230330_0007   Background:   Lenovo announced the ESG KPI in 2021, please reference FY22 ESG report, section 9 on page 121: FY2022-lenovo-sustainability-report.pdf   The key item for packaging KPI (already approved by 3 Segments) is:   By FY 2025/26, 90% of PC products plastic packaging will be made from recycled materials. * Measured by weight and excludes tablets, accessories and monitors.   Action required: For all of our DT products(not include NEC products), we need use the 90% PIC EPE cushion for all models which would active until 2025, also need consider about the L/T for logistic & common inventory period, to make sure all model sell in 2025, must with this type or some other higher recycled % level material.   Cost impaction need confirm by packaging team.",2024-02-28T17:39:22.000,2024-02-29T13:47:02.000,"chenwy3,zhanght25,chenjd4",DT_BU,ThinkCentre neo 50a 24 Gen 5,ThinkCentre neo 50a 24 Gen 5,SS,-,-,2023-10-16,2023-08-28,2023-10-11,2023-10-30,2023-12-18,2023-12-21,2024-01-18,,2024-01-18,2026-06-30,xuyuan4,,yangxt4,Spain_E5,Intel_RPL-H/U,AIO,Intel RPL,SMB,ThinkCentre neo,,,ROW,"24"""
480,CP20240228_0004,90% PIC EPE cushion implement - update AIO models,liuyangs,Under Screen,Others,"This PCR just for to add more compal AIO new models and double check those old models status, since cost already flat and need compal models start to transfer: The original PCR is CP20230330_0007   Background:   Lenovo announced the ESG KPI in 2021, please reference FY22 ESG report, section 9 on page 121: FY2022-lenovo-sustainability-report.pdf   The key item for packaging KPI (already approved by 3 Segments) is:   By FY 2025/26, 90% of PC products plastic packaging will be made from recycled materials. * Measured by weight and excludes tablets, accessories and monitors.   Action required: For all of our DT products(not include NEC products), we need use the 90% PIC EPE cushion for all models which would active until 2025, also need consider about the L/T for logistic & common inventory period, to make sure all model sell in 2025, must with this type or some other higher recycled % level material.   Cost impaction need confirm by packaging team.",2024-02-28T17:39:22.000,2024-02-29T13:47:02.000,"chenwy3,zhanght25,chenjd4",DT_BU,ThinkCentre neo 50a 27 Gen 5,ThinkCentre neo 50a 27 Gen 5,SS,-,-,2023-10-16,2023-08-28,2023-10-11,2023-10-30,2023-12-18,2023-12-21,2024-01-18,,2024-01-18,2026-06-30,kangclc,,yangxt4,Spain_E6,Intel_RPL-H/U,AIO,Intel RPL,SMB,ThinkCentre neo,,,ROW,"27"""
481,CP20240228_0004,90% PIC EPE cushion implement - update AIO models,liuyangs,Under Screen,Others,"This PCR just for to add more compal AIO new models and double check those old models status, since cost already flat and need compal models start to transfer: The original PCR is CP20230330_0007   Background:   Lenovo announced the ESG KPI in 2021, please reference FY22 ESG report, section 9 on page 121: FY2022-lenovo-sustainability-report.pdf   The key item for packaging KPI (already approved by 3 Segments) is:   By FY 2025/26, 90% of PC products plastic packaging will be made from recycled materials. * Measured by weight and excludes tablets, accessories and monitors.   Action required: For all of our DT products(not include NEC products), we need use the 90% PIC EPE cushion for all models which would active until 2025, also need consider about the L/T for logistic & common inventory period, to make sure all model sell in 2025, must with this type or some other higher recycled % level material.   Cost impaction need confirm by packaging team.",2024-02-28T17:39:22.000,2024-02-29T13:47:02.000,"chenwy3,zhanght25,chenjd4",DT_BU,ThinkCentre neo 50a 27 Gen 5,ThinkCentre neo 50a 27 Gen 5,Concept,,TBD,,,,,,,,,2025-1,2026-06-30,kangclc,yandb1,yangxt4,,Intel_RPL-H/U,AIO,RPL-H/U,SMB,ThinkCentre neo,AIO CPU refresh,,ROW & PRC,"27"""
482,CP20240122_0009,AMD RX550x 2G/4G dGPU FY24 landing plan,lixr12,Separated,Models,Introduce AMD RX550x 4G dGPU in COMM: TC M960t / TC M760t / QT M660 / QT M460 / QT M550   Introduce AMD RX550x 2G dGPU in QT M660 / QT M460 / QT M550,2024-01-22T10:41:51.000,2024-02-28T12:00:46.000,"chenwy3,zhanght25,chenjd4",DT_BU,QiTian M460,QiTian M460,SVT,2/23 -->2/6,2023-02-28,2023-09-05,2023-10-07,2023-11-24,2023-12-08,2/23 -->2/6,2024-02-26,2024-03-29,,2024-03-29,2026-03-31,Joyce Guo,ZhangjingP/Hesong Li,huangwj1,Milford_QT,Intel_RPL-S-R,TWR,RPL-S B760,Commercial,QiTian,New PCB3,MB3,PRC,13.6L
483,CP20240122_0009,AMD RX550x 2G/4G dGPU FY24 landing plan,lixr12,Separated,Models,Introduce AMD RX550x 4G dGPU in COMM: TC M960t / TC M760t / QT M660 / QT M460 / QT M550   Introduce AMD RX550x 2G dGPU in QT M660 / QT M460 / QT M550,2024-01-22T10:41:51.000,2024-02-28T12:00:46.000,"chenwy3,zhanght25,chenjd4",DT_BU,QiTian M550,QiTian M550,SIT,2024-01-12,-,2023-10-30,2023-11-06,2024-01-12,2024-01-22,2024-05-24,2024-06-03,2024-06-21,,2024-07-05,2026-09-30,wangjf2,luoxl12,gaozhuo1,Dayton_QT,AMD_Phoenix_AM5,TWR,PHoenix Pro665,Commercial,QiTian,13.6 PCB,AM5,PRC,13.6L
484,CP20240122_0009,AMD RX550x 2G/4G dGPU FY24 landing plan,lixr12,Separated,Models,Introduce AMD RX550x 4G dGPU in COMM: TC M960t / TC M760t / QT M660 / QT M460 / QT M550   Introduce AMD RX550x 2G dGPU in QT M660 / QT M460 / QT M550,2024-01-22T10:41:51.000,2024-02-28T12:00:46.000,"chenwy3,zhanght25,chenjd4",DT_BU,QiTian M660,QiTian M660,SIT,2024-01-29,2023-06-05,2023-10-16,2023-10-23,2024-01-29,2024-02-01,2024-04-30,2024-05-06,2024-05-24,,2024-05-31,2026-06-30,Elsa Li,Xihong Lin,huangwj1,Porto_QT-1.0,Intel_RPL-S-R,TWR,ADL-S Q670 PAYG,Commercial,QiTian,New PCB2,MB1,PRC,13.6L
485,CP20240122_0009,AMD RX550x 2G/4G dGPU FY24 landing plan,lixr12,Separated,Models,Introduce AMD RX550x 4G dGPU in COMM: TC M960t / TC M760t / QT M660 / QT M460 / QT M550   Introduce AMD RX550x 2G dGPU in QT M660 / QT M460 / QT M550,2024-01-22T10:41:51.000,2024-02-28T12:00:46.000,"chenwy3,zhanght25,chenjd4",DT_BU,ThinkCentre M760t,ThinkCentre M760t,SVT,2024-03-29,2023-06-05,2023-10-30,-,-,2023-11-06,2024-01-25,2024-02-01,2024-03-29,,2024-04-15,2025-09-30,kangxj2,Lingan Zhang,huangwj1,Meknes_M_PRC,Intel_RPL-S-R,TWR,ADL-S Q670 PAYG,Commercial,KaiTian,RPL PCB1(MSI),MB5(new),PRC,17L
486,CP20240122_0009,AMD RX550x 2G/4G dGPU FY24 landing plan,lixr12,Separated,Models,Introduce AMD RX550x 4G dGPU in COMM: TC M960t / TC M760t / QT M660 / QT M460 / QT M550   Introduce AMD RX550x 2G dGPU in QT M660 / QT M460 / QT M550,2024-01-22T10:41:51.000,2024-02-28T12:00:46.000,"chenwy3,zhanght25,chenjd4",DT_BU,ThinkCentre M960t,ThinkCentre M960t,SVT,2024-03-29,2023-06-05,2023-10-30,-,-,2023-11-06,2024-01-25,2024-02-01,2024-03-29,,2024-04-15,2025-09-30,kangxj2,Zhaoming3,huangwj1,Patreks_M_PRC,Intel_RPL-S-R,TWR,ADL-S Q670,Commercial,KaiTian,RPL PCB1(MSI),MB4(new),PRC,17L
487,CP20240227_0005,Ukrainian Keyboard change request for DT all models,guoxia1,Separated,Others,"Reason： it is required by law to have specific Ukranian KB layout Change request： 1)       Remove Russia selection from Ukraine MTM configrator 2)       print layout change We need to add the letter «ґ»  in to the button «U/Г», to the top right corner. Picture see link or email(Ukrian KB print.docx) Running change until consume up old stock Scope： Add DT model standalone optional KB and inbox KB",2024-02-27T11:31:35.000,2024-02-27T11:52:14.000,"chenwy3,zhanght25,chenjd4",DT_BU,IdeaCentre 3 07IRB8,IdeaCentre 3 07IRB8,SS,-,-,-,-,-,2023-09-08,2023-12-01,2023-12-04,2023-12-15,,2023-12-15,2025-03-31,qianqiana,Songliang,hanjing7,Exeter_IC,Intel_RPL-S,SFF,ADL-S  B660 -Refresh,Consumer,IdeaCentre,7.4 PCB 1,Bidding Box B660,ROW&PRC,7.4L
488,CP20240227_0005,Ukrainian Keyboard change request for DT all models,guoxia1,Separated,Others,"Reason： it is required by law to have specific Ukranian KB layout Change request： 1)       Remove Russia selection from Ukraine MTM configrator 2)       print layout change We need to add the letter «ґ»  in to the button «U/Г», to the top right corner. Picture see link or email(Ukrian KB print.docx) Running change until consume up old stock Scope： Add DT model standalone optional KB and inbox KB",2024-02-27T11:31:35.000,2024-02-27T11:52:14.000,"chenwy3,zhanght25,chenjd4",DT_BU,IdeaCentre AIO 24ARR9,IdeaCentre AIO 24ARR9,SS,-,-,2023-10-23,2023-09-04,2023-10-18,2023-11-06,2023-12-25,2024-01-03,2024-01-31,,2024-01-31,2026-03-31,xuyuan4,,yangxt4,Chicago (ARR-24),AMD_RMB-R,AIO,AMD Ramebrant-H,Consumer,IdeaCentre,,,ROW,"24"""
489,CP20240227_0005,Ukrainian Keyboard change request for DT all models,guoxia1,Separated,Others,"Reason： it is required by law to have specific Ukranian KB layout Change request： 1)       Remove Russia selection from Ukraine MTM configrator 2)       print layout change We need to add the letter «ґ»  in to the button «U/Г», to the top right corner. Picture see link or email(Ukrian KB print.docx) Running change until consume up old stock Scope： Add DT model standalone optional KB and inbox KB",2024-02-27T11:31:35.000,2024-02-27T11:52:14.000,"chenwy3,zhanght25,chenjd4",DT_BU,IdeaCentre AIO 24ARR9,IdeaCentre AIO 24ARR9,Concept,,TBD,,,,,,,,,2025-1,2026-03-31,xuyuan4,jiazz3,yangxt4,,AMD_RMB-R,AIO,hawk point?,Consumer,IdeaCentre,AIO CPU refresh,,ROW,"24"""
490,CP20240227_0005,Ukrainian Keyboard change request for DT all models,guoxia1,Separated,Others,"Reason： it is required by law to have specific Ukranian KB layout Change request： 1)       Remove Russia selection from Ukraine MTM configrator 2)       print layout change We need to add the letter «ґ»  in to the button «U/Г», to the top right corner. Picture see link or email(Ukrian KB print.docx) Running change until consume up old stock Scope： Add DT model standalone optional KB and inbox KB",2024-02-27T11:31:35.000,2024-02-27T11:52:14.000,"chenwy3,zhanght25,chenjd4",DT_BU,IdeaCentre AIO 24IRH9,IdeaCentre AIO 24IRH9,SS,-,-,2023-10-23,2023-08-28,2023-10-11,2023-10-30,2023-12-18,2023-12-21,2024-01-18,,2024-01-18,2026-03-31,xuyuan4,,yangxt4,Chicago (IRH-24),Intel_RPL-H/U,AIO,Intel RPL,Consumer,IdeaCentre,,,ROW,"24"""
491,CP20240227_0005,Ukrainian Keyboard change request for DT all models,guoxia1,Separated,Others,"Reason： it is required by law to have specific Ukranian KB layout Change request： 1)       Remove Russia selection from Ukraine MTM configrator 2)       print layout change We need to add the letter «ґ»  in to the button «U/Г», to the top right corner. Picture see link or email(Ukrian KB print.docx) Running change until consume up old stock Scope： Add DT model standalone optional KB and inbox KB",2024-02-27T11:31:35.000,2024-02-27T11:52:14.000,"chenwy3,zhanght25,chenjd4",DT_BU,IdeaCentre AIO 24IRH9,IdeaCentre AIO 24IRH9,Concept,,TBD,,,,,,,,,2025-1,2026-03-31,xuyuan4,jiazz3,yangxt4,,Intel_RPL-H/U,AIO,RPL-H/U,Consumer,IdeaCentre,AIO CPU refresh,,ROW,"24"""
492,CP20240227_0005,Ukrainian Keyboard change request for DT all models,guoxia1,Separated,Others,"Reason： it is required by law to have specific Ukranian KB layout Change request： 1)       Remove Russia selection from Ukraine MTM configrator 2)       print layout change We need to add the letter «ґ»  in to the button «U/Г», to the top right corner. Picture see link or email(Ukrian KB print.docx) Running change until consume up old stock Scope： Add DT model standalone optional KB and inbox KB",2024-02-27T11:31:35.000,2024-02-27T11:52:14.000,"chenwy3,zhanght25,chenjd4",DT_BU,IdeaCentre AIO 27ARR9,IdeaCentre AIO 27ARR9,SS,-,-,2023-10-23,2023-09-04,2023-10-18,2023-11-06,2023-12-25,2024-01-03,2024-01-31,,2024-01-31,2026-03-31,xuyuan4,,yangxt4,Chicago (ARR-27),AMD_RMB-R,AIO,AMD Ramebrant-H,Consumer,IdeaCentre,,,ROW,"27"""
493,CP20240227_0005,Ukrainian Keyboard change request for DT all models,guoxia1,Separated,Others,"Reason： it is required by law to have specific Ukranian KB layout Change request： 1)       Remove Russia selection from Ukraine MTM configrator 2)       print layout change We need to add the letter «ґ»  in to the button «U/Г», to the top right corner. Picture see link or email(Ukrian KB print.docx) Running change until consume up old stock Scope： Add DT model standalone optional KB and inbox KB",2024-02-27T11:31:35.000,2024-02-27T11:52:14.000,"chenwy3,zhanght25,chenjd4",DT_BU,IdeaCentre AIO 27ARR9,IdeaCentre AIO 27ARR9,Concept,,TBD,,,,,,,,,2025-1,2026-03-31,kangclc,yandb1,yangxt4,,AMD_RMB-R,AIO,hawk point?,Consumer,IdeaCentre,AIO CPU refresh,,ROW,"27"""
494,CP20240227_0005,Ukrainian Keyboard change request for DT all models,guoxia1,Separated,Others,"Reason： it is required by law to have specific Ukranian KB layout Change request： 1)       Remove Russia selection from Ukraine MTM configrator 2)       print layout change We need to add the letter «ґ»  in to the button «U/Г», to the top right corner. Picture see link or email(Ukrian KB print.docx) Running change until consume up old stock Scope： Add DT model standalone optional KB and inbox KB",2024-02-27T11:31:35.000,2024-02-27T11:52:14.000,"chenwy3,zhanght25,chenjd4",DT_BU,IdeaCentre AIO 27IRH9,IdeaCentre AIO 27IRH9 (FHD),SS,-,-,2023-10-16,2023-08-28,2023-10-11,2023-10-30,2023-12-18,2023-12-21,2024-01-18,,2024-01-18,2026-03-31,kangclc,,yangxt4,Chicago (IRH-27_FHD),Intel_RPL-H,AIO,Intel RPL,Consumer,IdeaCentre,,,ROW,"27"""
495,CP20240227_0005,Ukrainian Keyboard change request for DT all models,guoxia1,Separated,Others,"Reason： it is required by law to have specific Ukranian KB layout Change request： 1)       Remove Russia selection from Ukraine MTM configrator 2)       print layout change We need to add the letter «ґ»  in to the button «U/Г», to the top right corner. Picture see link or email(Ukrian KB print.docx) Running change until consume up old stock Scope： Add DT model standalone optional KB and inbox KB",2024-02-27T11:31:35.000,2024-02-27T11:52:14.000,"chenwy3,zhanght25,chenjd4",DT_BU,IdeaCentre AIO 27IRH9,IdeaCentre AIO 27IRH9 (QHD),SS,-,-,2023-10-16,2023-08-28,2023-09-22,2023-10-16,2023-12-04,2023-12-05,2023-12-29,,2023-12-29,2026-03-31,kangclc,,yangxt4,Chicago (IRH-27_QHD),Intel_RPL-H,AIO,Intel RPL,Consumer,IdeaCentre,,,ROW,"27"""
496,CP20240227_0005,Ukrainian Keyboard change request for DT all models,guoxia1,Separated,Others,"Reason： it is required by law to have specific Ukranian KB layout Change request： 1)       Remove Russia selection from Ukraine MTM configrator 2)       print layout change We need to add the letter «ґ»  in to the button «U/Г», to the top right corner. Picture see link or email(Ukrian KB print.docx) Running change until consume up old stock Scope： Add DT model standalone optional KB and inbox KB",2024-02-27T11:31:35.000,2024-02-27T11:52:14.000,"chenwy3,zhanght25,chenjd4",DT_BU,IdeaCentre AIO 27IRH9,IdeaCentre AIO 27IRH9(QHD)(RPL-U/H),Concept,,TBD,,,,,,,,,2025-1,2026-03-31,kangclc,yandb1,yangxt4,,Intel_RPL-H,AIO,RPL-H/U,Consumer,IdeaCentre,AIO CPU refresh,,ROW,"27"""
